,model.name,model.title,citation.openAccessPdf,manual,Secondary use of the <model.name> (if applicable),Citation Sentence,Does the paper introduce a new model?,"If yes, what is the name of the model? (not named is fine)",Does the paper use AI model?,"If yes, which model it is using?",Notes,MCLLM,MC
361,Universal approximation via Feedforward Networks,Multilayer feedforward networks are universal approximators,http://arxiv.org/pdf/2306.06913,Background,,"Relying on the degree characteristics and the universal approximation theorem of the MLP [51], The semantics of aggregation weights of both GCN and GraphSAGE can be approximated by GT, which
shows the aggregation of GCN and GraphSAGE are special
forms of the outer head of GT layer.",yes,NRL-GT,no,,,uses,uses
362,R-FCN,R-FCN: Object Detection via Region-based Fully Convolutional Networks,https://www.mdpi.com/2072-4292/14/4/950/pdf?version=1645156165,Background,,The convolutional neural network (CNN) model is the most widely used deep learning model [13–22]. CNN does not need to use artificially designed features and can learn and extract effective features of the image using massive images and annotations,yes,(CNN-AOOF),no,,,background,background
366,Chinchilla,Training Compute-Optimal Large Language Models,http://arxiv.org/pdf/2210.04909,Background,,"Anticipating this scaling trend to remain in vogue for the foreseeable future [6–8], it is imperative that we understand how to scale up models intelligently.",Yes,,Yes,,,motivation,motivation
368,Naive Bayes,Pattern classification and scene analysis,https://strathprints.strath.ac.uk/76660/1/Venerandi_Fusco_ICCSA_2020_Describing_the_residential_valorisation_of_urban_space_at_the_street_level.pdf,Background,Uses,"Such variable is linked to each individual variable through oriented arcs, in what is called a naive Bayes classifier [16].",Yes,,Yes,Bayesian clustering,,background,background
369,MetaLM,Language Models are General-Purpose Interfaces,http://arxiv.org/pdf/2302.07842,Background,,"As recently demonstrated by Hao et al. (2022) and Alayrac et al. (2022), LMs can also be used as a general-purpose interface with models pre-trained on different modalities.",Yes,Augmented Language Models,Yes,Augmented Language Models,,background,background
371,BART-large,"BART: Denoising Sequence-to-Sequence Pre-training for Natural Language Generation, Translation, and Comprehension",https://arxiv.org/pdf/2310.01558,Background,,"A dominant approach for combating this issue has been Retrieval Augmented Language Models (RALMs), which incorporate a retrieval mechanism to reduce the need for storing information in the LLM parameters (Guu et al., 2020; Lewis et al., 2020b; Izacard et al., 2022; Rubin & Berant, 2023).",Yes,fine tuned,Yes,RALM,,background,background
373,Word Representations,Word Representations: A Simple and General Method for Semi-Supervised Learning,http://fulir.irb.hr/4124/7/Document-based%20topic%20coherence%20measures%20for%20news%20media%20text%20%5Bpostprint%20version%5D.pdf,Uses,,"This method of aggregation relies on pre-constructed word embeddings (Turian et al., 2010): low-dimensional, continuous-valued vectorial representations of words’ meanings derived from word co-occurrences in a large text corpus.",Yes,,Yes,Topic model,,background,background
374,InstructGPT,Training language models to follow instructions with human feedback,https://aclanthology.org/2023.findings-emnlp.983.pdf,Background,,"For nontoxic text generation, model retraining with auxiliary information is used, including control codes as in - CTRL (Keskar et al., 2019) or reinforcement learning from human feedback - InstructGPT (Ouyang et al., 2022).",Yes,Gated Toxicity Avoidance (GTA),Yes,Controllable Text Generation (CTG),,uses,uses
375,Base LM + kNN LM + Continuous Cache,Generalization through Memorization: Nearest Neighbor Language Models,https://arxiv.org/pdf/2308.04215,Background,,"Various methods have been proposed to integrate the retrieved data into the language model, including the use of prompts (Lewis et al., 2020; Guu et al., 2020; Shi et al., 2023), crossattention modules (Borgeaud et al., 2021), vector concatenation (Izacard and Grave, 2021; Fan et al., 2021), and output distribution adjustment at decoding (Khandelwal et al., 2020; Liu et al., 2022).",Yes,Hybrid RetrievalAugmented Generation (HybridRAG),Yes,Hybrid RetrievalAugmented Generation (HybridRAG),,background,background
376,EfficientZero,Mastering Atari Games with Limited Data,https://intellrobot.com/article/download/5115,Background,,"For sequential decision making problems, model-based planning is a powerful approach to improve sample efficiency and has achieved great success in applied domains such as game playing[79–81] and continuous control[82,83]",No,,No,,,background,background
377,Residual Dense Network,Residual Dense Network for Image Super-Resolution,https://www.mdpi.com/2079-9292/11/22/3809/pdf?version=1669116005,Background,Motivation,They are mainly PSNR-oriented and GAN-driven methods. PSNR-oriented methods [1–6] are trained with the MSE or L1 as loss functions and achieve excellent PSNR,Yes,epistemic-uncertainty-based divide-and-conquer network (EU-DC),Yes,epistemic-uncertainty-based divide-and-conquer network (EU-DC),,background,background
378,LRSO-GAN,Unlabeled Samples Generated by GAN Improve the Person Re-identification Baseline in Vitro,https://arxiv.org/pdf/2004.08787,Uses,,The experiments were conducted over two public datasets Market1501 [58] and DukeMTMC-ReID [36] [59] by using the evaluation metrics Cumulative Matching Characteristic (CMC) curve and mean average precision (mAP).,Yes,augmented discriminative clustering (AD-Cluster),Yes,"ResNet-50, ImageNet",,uses,uses
379,GoogLeNet / InceptionV1,Going deeper with convolutions,https://www.frontiersin.org/articles/10.3389/fpls.2023.1328952/pdf?isPublishedV2=False,Uses,Differences,"These experiments involved benchmarking the proposed approach against several state-of-the-art methods, namely AlexNet Krizhevsky et al. (2012), GoogleNet Szegedy et al. (2014), VGG Abas et al. (2018), ResNet101 Zhang (2021), EfficientNetB3 Singh et al. (2022), Inception V3 Jenipher and Radhika (2022), MobileNet V2140 Elfatimi et al. (2022), and vision transformer Dosovitskiy et al. (2020).",Yes,,Yes,GoogLeNet,An interesting paper that classifys leaf diseases in ligneous plants by proposing a new model & test against with the source paper,uses,uses
381,Diabetic Retinopathy Detection Net,Development and Validation of a Deep Learning Algorithm for Detection of Diabetic Retinopathy in Retinal Fundus Photographs.,https://www.mdpi.com/2079-9721/11/3/97/pdf?version=1689308882,Background,,"In general, for the diagnosis and treatment of diabetes, the clinical application of AI can be divided into four main sectors: (i) retinal screening; (ii) support for clinical diagnosis; (iii) management tools; and (iv) risk evaluation [31].",No,,No,commentary that briefly describes the evolution of AI and its applications in healthcare (focus on diabetes - related to the source paper),,background,background
382,,,,Background,,"The second group includes systems that send data collected from continuous glucose monitoring to a cloud server and utilizes AI to remotely decide and suggest the appropriate adjustment for insulin dose; the physicians can then evaluate the suggestion and, if necessary, alert patients [31].",,,,,,background,background
383,,,,Background,,"For example, in the Guardian Connect System, AI predicts hypoglycemia 1 h in advance on the basis of data received from continuous glucose monitoring and warning the patient who can take, for example, glucose tablets in time [31].",,,,,,background,background
384,,,,Background,,"Finally, the last group involves ML technologies that are able to identify subjects at high risk of developing diabetes, even if ML does not currently outperform the conventional statistical models already employed to calculate the risk of diabetes onset, so that more studies are needed in this regard [31].",,,,,,background,background
385,Photo-Geometric Autoencoder,Unsupervised Learning of Probably Symmetric Deformable 3D Objects From Images in the Wild,https://www.mdpi.com/2079-9292/12/2/350/pdf?version=1673329193,Background,,"In recent years, the use of such architectures has demonstrated great success in both supervised and unsupervised learning for depth estimation problems [12,13].",Yes,HeightNet,Yes,"HeightNet, LapDepth",,background,background
423,Phenaki,Phenaki: Variable Length Video Generation From Open Domain Textual Description,https://arxiv.org/pdf/2212.08045,Background,,"These broadly use discriminative tasks to learn representations for various downstream modalities; generative approaches to multimodal modelling have been scaled to billions of parameters, generating text [2, 10, 74, 82], images [58, 62, 83], videos [27, 72] or audio [5] from various modalities.",yes,CLIPPO,no,,,background,background
424,LaMDA,LaMDA: Language Models for Dialog Applications,https://arxiv.org/pdf/2306.08107,Background,,"Large Language Models (LLMs) (Zhao et al., 2023a) are currently on everybody’s lips due to the recent series of rapid breakthroughs achieved, such as self-attention (Vaswani et al., 2017), BERT (Devlin et al., 2019), several versions of GPT (Radford et al., 2018; 2019; Brown et al., 2020; OpenAI, 2022; 2023), LaMDA (Thoppilan et al., 2022), LLaMA (Touvron et al., 2023), or OpenAssistant (Köpf et al., 2023).",no,,no,,,background,background
425,Inception v3,Rethinking the Inception Architecture for Computer Vision,https://www.frontiersin.org/articles/10.3389/fncom.2023.1268116/pdf?isPublishedV2=False,Background,,"Specifically, we used three vision networks with pre-trained weights that are available in the TensorFlow’s model zoo: InceptionV3 (Szegedy et al., 2016), ResNet50 (He et al., 2016), and EfficientNetB4 (Tan and Le, 2019).",yes,e classical autoencoder framework and create two networks: a “forward network” and an “inverse network”.,no,,,uses,uses
426,ATLAS,UnifiedQA: Crossing Format Boundaries With a Single QA System,https://www.igi-global.com/ViewTitle.aspx?TitleId=328681&isxn=9781668479155,Background,,"In the relation extraction task, the verbalizer mainly aims to map the generated sequences to specific relation classifications, and some scholars have conducted answer engineering studies in classification tasks (Yin et al., 2019), relation extraction (Chen et al., 2022), named entity recognition (Cui et al., 2021), generation tasks (Alec Radford et al., 2019), and multiple choices tasks (Khashabi et al., 2020).",no,,no,,,background,background
427,GPU DBNs,Large-scale deep unsupervised learning using graphics processors,https://www.spiedigitallibrary.org/journals/Journal-of-Applied-Remote-Sensing/volume-11/issue-4/042609/Comprehensive-survey-of-deep-learning-in-remote-sensing--theories/10.1117/1.JRS.11.042609.pdf,Background,,"For example, Raina et al.67 put forth central processing unit (CPU) and GPU ideas to accelerate DBNs and sparse coding",no,,no,,,background,background
428,Naive Bayes,Pattern classification and scene analysis,https://www.mdpi.com/1424-8220/23/24/9811/pdf?version=1702535879,Uses,,Fourteen classifiers were tested: • K nearest neighbor methods with the selected metrics; • Naive Bayes classifier (NB) [33–35];,yes,MCA-8 device in the Styrofoam,yes,NB classifier. ,,uses,uses
429,OpenAI Five,Dota 2 with Large Scale Deep Reinforcement Learning,http://arxiv.org/pdf/2306.00975,Background,,"Although Reinforcement Learning (RL) has demonstrated success across challenging tasks and games in both simulated and real environments [2, 9, 11, 89, 97], the observation spaces for visual RL tasks are typically predefined to offer the most advantageous views based on prior knowledge and can not be actively adjusted by the agent itself.",yes,SUGARL,no,,,background,background
430,NPLM,A Neural Probabilistic Language Model,https://arxiv.org/pdf/2306.01941,Background,,"An LLM, like any language model, predicts the conditional probability of a token—which might be a character, word, or other string—given its preceding context and, in the case of bidirectional models, its surrounding context [17, 156].",no,,no,,,background,background
431,LeNet-5,Gradient-based learning applied to document recognition,https://plantmethods.biomedcentral.com/counter/pdf/10.1186/s13007-023-01119-6,Background,,"A typical Transformer is comprised of Attention modules focusing on vital information from global to local, and it often showed signifcant performance improvement when trained on large datasets [25].",yes,ESMAraPPI,no,,,background,background
432,NMT Transformer 437M,Massively Multilingual Neural Machine Translation,https://aclanthology.org/2021.eacl-main.30.pdf,Background,,"This is analogous to the techniques used for silver data pre-training (Konstas et al., 2017; van Noord and Bos, 2017) in AMR parsing and multi-lingual pre-training (Aharoni et al., 2019) in machine translation.",yes,"transformer-based
multilingual word embeddings for annotation projection of AMR annotations.",no,,,similarities,similarities
433,LSTM + dynamic eval,Dynamic Evaluation of Neural Sequence Models,https://aclanthology.org/2021.codi-main.14.pdf,Background,,"Running oracle self-training makes it similar to the dynamic evaluation approach introduced in language modeling (Mikolov, 2012; Graves, 2013; Krause et al., 145 2018), where input text to the language model is the target used to train the neural language model during evaluation.",yes,foreign-text-to-English AMR alignment,no,,,similarities,similarities
434,LSTM,Long Short-Term Memory,https://ijere.iaescore.com/index.php/IJERE/article/download/26024/13749,Background,,Long short-term memory (LSTM) is one of the powerful classification methods in deep learning. LSTM architecture has been developed as a solution to the problem of vanishing and exploding gradients encountered in recurring neural networks (RNNs) [24].,yes,"We integrated the RF model to
predict the sentiment analysis, and the LSTM model to predict the epistemic",no,,,background,background
435,OpenAI Five Rerun,Dota 2 with Large Scale Deep Reinforcement Learning,http://arxiv.org/pdf/2301.04299,Background,,"Deep Reinforcement Learning (DRL) has made significant progress over the past decade, from its start playing Atari games [1], to beating humans in board [2] and video games [3, 4], to now addressing important complex safetycritical challenges such as defending computer systems [5], managing power networks [6] and driving vehicles [7].",no,,no,,,background,background
436,T5-11B,Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/5E5A7C1272C234F77ECB4A354E6FB253/S1351324923000487a.pdf/div-class-title-data-to-text-generation-using-conditional-generative-adversarial-with-enhanced-transformer-div.pdf,Background,,"One of the most common deep learning methods is to use the maximum likelihood estimation (MLE) loss function.
D2T models trained with this method, which are generally based on RNN networks (Wen et al.
2015a, b, c, 2016; Dusek and Jurcicek 2016; Mei, Bansal, and Walter 2016; Nayak et al. 2017; Riou
et al. 2017; Gehrmann, Dai, and Elder 2018; Juraska et al. 2018; Liu et al. 2018; Oraby et al. 2018;
Sha et al. 2018) or transformers (Gehrmann et al. 2018; Gong 2018; Radford et al. 2019; Kasner
and Dušek 2020a; Peng et al. 2020; Harkous, Groves, and Saffari 2020; Chen et al. 2020; Kale and
Rastogi 2020a; Raffel et al. 2020; Chang et al. 2021; Lee 2021), auto-regressively generate each output token based on the sequence of previously generated tokens.",yes,"enhanced version of the vanilla transformer encoder
and decoder",no,,,background,background
437,GloVe (6B),GloVe: Global Vectors for Word Representation,https://arxiv.org/pdf/2310.07290,Background,,"ations. These models, such as Word2Vec [32], FastText [8], GloVe [44], and BERT [16], capture the semantic and syntactic meaning of words, sentences, or entire documents by mapping them to dense vecto",yes,G-CatA,yes,GloVe,,background,background
438,,,,Uses,,"Out of the word embedding models utilized by the authors, we specifically chose GloVe [44], as they demonstrated that it yielded the most favorable outcomes",yes,G-CatA,yes,GloVe,,uses,uses
439,Sparse coding model for V1 receptive fields,Sparse coding with an overcomplete basis set: A strategy employed by V1?,https://www.intechopen.com/citation-pdf-url/69022,Background,,"A significantly different approach to the sparse modelling, originally introduced by Olshausen and Field [1], consists of learning a dictionary from some training data.",no,,no,,,background,background
440,,,,Background,,"Olshausen and Field [1] proposed a significantly different approach for designing the dictionary using the training data, benefiting from modelling the receptive fields of simple cells in the mammalian primary visual cortex",no,,no,,,background,background
441,Time-delay neural networks,Phoneme recognition using time-delay neural networks,http://arxiv.org/pdf/2108.05679,Background,,"An encoder (or a frame processor) implemented with multiple layers of time-delay neural network (TDNN) [19], [20]. In [21], it’s shown that a TDNN could be implemented as a 1D-CNN with dilation. In [4], [22], [23], 2D-convolution has shown to be effective as well",yes,xi-vector,no,,,background,background
442,Walking Minotaur robot,Learning to Walk via Deep Reinforcement Learning,http://arxiv.org/pdf/2209.08381,Background,,"RL algorithms have seen impressive successes recently in a number of application such as playing games [14], [15] and robotics [16]–[19].",yes,"an algorithm for autonomous ship landing for VTOL capable UAVs in the presence of adversarial environmental
conditions such as wind gusts",no,,,background,background
443,ESRGAN,ESRGAN: Enhanced Super-Resolution Generative Adversarial Networks,http://arxiv.org/pdf/2304.09414,Background,,Given the success of residual neural networks in the area of image reconstruction [56]–[58] we use one of such architectures as the backbone for our method,yes,no name,no,,,uses,uses
444,YOLOv2,"YOLO9000: Better, Faster, Stronger",https://arxiv.org/pdf/2308.11894,Background,,"The former, such as YOLO [29, 45, 46], usually has higher detection speed, while the latter, such as Faster R-CNN [47], usually has higher detection accuracy.",yes,SysAdv,no,,,background,background
445,DLRM-2020,Deep Learning Recommendation Model for Personalization and Recommendation Systems,https://link.springer.com/content/pdf/10.1007/s44196-022-00179-1.pdf,Background,,These standard scores will further be put into the whole ranking deep neural network to get the overall score ranking. Maxim et al. [28] designed a new parallel scheme that enabled efcient computation of fully connected layers in learning-based recommendation model.,yes,DRR-Max,no,,,background,background
447,DeepLabV3+,Encoder-Decoder with Atrous Separable Convolution for Semantic Image Segmentation,https://www.mdpi.com/2313-7673/8/4/356/pdf?version=1691641647,Background,,"Serveral key techniques have emerged, such as enlarging the receptive field with dilated or atrous convolution [18–20], refining the contextual information by multi-scale feature fusion [21–24], etc",yes,SCGNet-L,no,,,background,background
448,Cross-lingual alignment,"Cross-Lingual Alignment of Contextual Word Embeddings, with Applications to Zero-shot Dependency Parsing",https://ojs.aaai.org/index.php/AAAI/article/download/17588/17395,Background,,"Recently, numerous cross-lingual adaptation methods have been applied to this data-scarcity scenario, where zero or very few target language training samples are utilized (Wisniewski et al. 2014; Schuster et al. 2019b; Artetxe and Schwenk 2019; Liu et al. 2019; Chen et al. 2019)",no,,no,,,background,background
449,"Mogrifier (d2, MoS2, MC) + dynamic eval",Remaining useful life prediction of lithium battery based on ACNN-Mogrifier LSTM-MMD,https://www.mdpi.com/1996-1944/16/22/7186/pdf?version=1700119067,Background,,"However, the type of life reported in these studies is the working life. Similar research on the fatigue life has rarely been reported [25,26].",no,,no,,,background,background
450,"MSRA (C, PReLU)",Delving Deep into Rectifiers: Surpassing Human-Level Performance on ImageNet Classification,https://arxiv.org/pdf/2310.01942,Background,,"Modern deep learning architectures have demonstrated great generalization performance, surpassing human baselines on different tasks [6, 19, 57].",yes,a new OODaware training regime tailored for representations trained with SupCo,no,,,background,background
451,Image Classification with the Fisher Vector: Theory and Practice,"Author manuscript, published in ""International Journal of Computer Vision (2013)"" International Journal of Computer Vision manuscript No. (will be inserted by the editor) Image Classification with the Fisher Vector: Theory and Practice",https://www.ijcai.org/proceedings/2017/0256.pdf,Background,,"It cannot work for those situations where we have limited resources which cannot meet the requirement, such as doing image labeling [Sanchez ´ et al., 2013] on smart phones",no,,no,,,background,background
452,MegaSyn,Dual use of artificial-intelligence-powered drug discovery,http://www.sciencepolicyjournal.org/uploads/5/4/3/4/5434385/cherney_etal_jspg_22-3.pdf,Background,,"In fact, a pharmaceuticals company found that toggling their drug discovery AI program to predict the most toxic compounds to humans could be accomplished in just six short hours (Urbina 2022).",no,,no,,,background,background
453,AbLang,AbLang: an antibody language model for completing antibody sequences,https://www.biorxiv.org/content/biorxiv/early/2023/01/31/2023.01.29.525793.full.pdf,Uses,,"Encouraged by the success of PLMs in protein representation learning, series work seeks to learn antibody representations based on sequences of antibodies. (Leem et al., 2021; Ruffolo et al., 2021; Olsen et al., 2022b; Prihoda et al., 2022; Li et al., 2022). AntiBERTy (Ruffolo et al., 2021) proposed the first antibody-specific language model, exploring a Transformer trained on 558M natural antibody sequences in the OAS database.",no,,yes,AbLang H,,background,background
454,BellKor 2009,The BellKor Solution to the Netflix Grand Prize,https://dl.acm.org/doi/pdf/10.1145/3383313.3412216,Background,,"Since temporal information hold contextual information, they can be very crucial for recommendation performance. TimeSVD++ and BPTF [12, 27] adopted time factor into the matrix factorization
method, and TimeSVD++ was one of the main contributions for
the winning of Netflix Grand Prize [11]",yes,MEANTIME,no,,,background,background
455,NLLB,No Language Left Behind: Scaling Human-Centered Machine Translation,https://arxiv.org/pdf/2307.15286,Uses,,"Inspired by one work [34], we use a paraphraser via multilingual Neural Machine Translation (NMT) system (NLLB) based on encoder-decoder framework[4], enabling high-quality zero-shot translations in 200 languages.",yes," new decoding
method that focuses on the lexical variations of the complex word.",yes,NLLB,,uses,uses
