model.name,model.title,citation.openAccessPdf,How does it use <model.name> ?,Secondary use of the <model.name> (if applicable),Citation Sentence,Does the paper introduce a new model?,"If yes, what is the name of the model? (not named is fine)",Does the paper use AI model?,"If yes, which model it is using?",Notes
Deeply-recursive ConvNet,Deeply-Recursive Convolutional Network for Image Super-Resolution,https://www.mdpi.com/2072-4292/14/2/257/pdf?version=1641475856,Background,,"In particular, the deep learning-based SRR methods, either using residual networks [37–39], recursive networks[40,41], attention-based networks [42,43], and/or using generative adversarial networks (GANs) [44–46], have become more and more popular over the last decade, not only in the field of picture/photo enhancement, but also in the field of Earth observation for improving the quality and resolution of satellite imagery [34–36].",No,,Yes,MARSGAN SRR,
Base LM + kNN LM + Continuous Cache,Generalization through Memorization: Nearest Neighbor Language Models,http://arxiv.org/pdf/2210.09340,Background,,"k-Nearest Neighbors (kNN)-based approaches have been successfully used in the literature for an array of tasks such as language modeling (Khandelwal et al., 2020), question answering (Kassner and Schütze, 2020), dialogue generation (Fan et al., 2021), etc.",Yes,"No name: "" a framework for transferring knowledge to a low-resource HS corpus by incorporating neighborhood information with Optimal Transport""",Yes,LaBSE,
SemExp,Object Goal Navigation using Goal-Oriented Semantic Exploration,https://arxiv.org/pdf/2307.15320,Background,,"Data-driven policy learning allows to acquire reactive robotic skills and has recently shown impressive results both in simulation and in the real world for tasks such as dexterous manipulation [1], [2], [3], [4], robotic arm manipulation [5], [6], [7], quadruped locomotion [8], [9], [10], [11] and navigation [12], [13], [14], [15].",Yes,,Yes,"DA, DM",
Conv-DBN,Convolutional deep belief networks for scalable unsupervised learning of hierarchical representations,https://www.nature.com/articles/s41598-020-69201-w.pdf,Background,,"A DBN, consists of probabilistic models composed of multiple layers of random variables51.",No,,Yes,ResNet-50,
WGAN-GP,Improved Training of Wasserstein GANs,https://arxiv.org/pdf/2308.13295,Uses,,"In practice, the Wasserstein GAN with Gradient Penalty (WGAN-GP) [28] is used.",Yes,,Yes,"OL-GAN, FNN",
DeepNash,Mastering the game of Stratego with model-free multiagent reinforcement learning,https://arxiv.org/pdf/2307.13922,Background,,"Such examples include strong performance in competitive games (Brown & Sandholm, 2019; Perolat et al., 2022), resource allocation (Parise et al., 2020; Amelina et al., 2015) and robotics (Hamann, 2018; Hernandez et al. ´ , 2013).",No,,Yes,Q-Learning dynamics,
LDA,Latent Dirichlet Allocation,https://www.medrxiv.org/content/medrxiv/early/2023/11/17/2023.11.16.23298640.full.pdf,Uses,,"LDA is a generative probabilistic model which applies a distribution of topics over each document, assuming topics are drawn from a Dirichlet distribution.27",Yes,EHR-BERT,Yes,LDA,
Gen-1,Structure and Content-Guided Video Synthesis with Diffusion Models,https://arxiv.org/pdf/2307.10373,,,,,,,,
Adaptive Subgrad,Adaptive Subgradient Methods for Online Learning and Stochastic Optimization,https://arxiv.org/pdf/2302.00195,,,,,,,,
Stacked hourglass network,Stacked Hourglass Networks for Human Pose Estimation,https://www.mdpi.com/1424-8220/23/15/6713/pdf?version=1690437230,,,,,,,,
PNAS-net,Progressive Neural Architecture Search,https://www.mdpi.com/2073-431X/12/9/174/pdf?version=1693565686,Background,,"Similarly, the majority of recent literature on AutoML for DL models concentrates on automating the design of DL models through the neural architecture search (NAS) process [24–28].",No,,No,,
GPT-4,GPT-4 Technical Report,https://arxiv.org/pdf/2310.08889,Background,,"Further, as large language models (LLMs) are drawing much attention in the NLP community, how strong LLMs behave in connecting discrete and continuous space perturbations remains unexplored, especially when GPT-4 (OpenAI, 2023) is known to support images and texts. As these models are not open-source to the public, we leave exploring the perturbation in LLMs in future works.",No,,No,,
DOT(S)-RNN,How to Construct Deep Recurrent Neural Networks,https://link.springer.com/content/pdf/bfm:978-3-030-59338-4/1?pdf=chapter%20toc,Other,,,,,,,could not find citation
Ankh_base,Ankh ☥: Optimized Protein Language Model Unlocks General-Purpose Modelling,https://www.biorxiv.org/content/biorxiv/early/2024/02/01/2024.01.29.577750.full.pdf,Uses,,"Using these mined sequences, we finetuned the complete encoder-decoder Ankh base model27
.
As a masking strategy, we employ unigram T5 span masking (Experiment 4 in the Ankh paper27)
and dynamically sample new masking tokens every epoch. We set the maximum sequence
length to 512 and randomly select 20% of tokens for masking, following the approach described
in the Ankh paper",No,,Yes, fine tuned,
Contriever,Unsupervised Dense Information Retrieval with Contrastive Learning,http://arxiv.org/pdf/2302.01626,Background,,"mContriever (Izacard et al., 2021b) and CCP (Wu et al., 2022a) similarly mine positive pairs by cropping two spans in a document. T",No,,No,,
Two-stream ConvNets for action recognition,Two-Stream Convolutional Networks for Action Recognition in Videos,http://arxiv.org/pdf/2305.01111,Background,,Mentioned in a table,No,,No,,
AlphaX-1,AlphaX: eXploring Neural Architectures with Deep Neural Networks and Monte Carlo Tree Search,https://ojs.aaai.org/index.php/AAAI/article/download/17233/17040,Background,,"We compare BANANAS to a host of popular NAS algorithms including random search (Li and Talwalkar 2019), DARTS (Liu, Simonyan, and Yang 2018), regularized evolution (Real et al. 2019), BOHB (Falkner, Klein, and Hutter 2018), NASBOT (Kandasamy et al. 2018b), local search (White, Nolen, and Savani 2020), TPE (Bergstra et al. 2011), BONAS (Shi et al. 2019), BOHAMIANN (Springenberg et al. 2016), REINFORCE (Williams 1992), GP-based BO (Snoek, Larochelle, and Adams 2012), AlphaX",No,,No,,
ALBERT-xxlarge,ALBERT: A Lite BERT for Self-supervised Learning of Language Representations,https://dl.acm.org/doi/pdf/10.1145/3583781.3590259,Background,,"Since the
introduction of the first transformer in 2017 [2], powerful
transformer-based pre-trained natural language processing (NLP)
models, such as BERT [3] and Albert [4], and computer vision
models, such as the Vision Transformer [5] have emerged.",no,,Yes,Albert ,
ASE+ACE,Neuronlike adaptive elements that can solve difficult learning control problems,http://manuscript.elsevier.com/S0893608022001009/pdf/S0893608022001009.pdf,,,,,,,,access denied
PreTrans-3L-250H,Speech recognition with deep recurrent neural networks,https://www.mdpi.com/2073-4433/14/3/542/pdf?version=1678952808,Background,,"They
incorporate a feedback loop in which the output of the RNN layer is taken as an input into
the next layer. Hence, RNNs are especially viable for analyzing time series in problems
related to text generation [69], speech recognition [70], or forecasting tasks [71].",no,,no,,
ObjectNet,ObjectNet: A large-scale bias-controlled dataset for pushing the limits of object recognition models,https://arxiv.org/pdf/2212.04825,Background,,"We also show the results of LLE on other OOD variants of ImageNet, including ImageNet-A [37] (IN-A), ImageNetV2 [69] (IN-V2), ObjectNet [9], and ImageNet-D [71,72] (IN-D). IN-D has rendition images similar to IN-R except for having additional domain annotations, e.g., clipart, infograph, etc.",yes,ImageNet-W,no,,
DLRM-2020,Deep Learning Recommendation Model for Personalization and Recommendation Systems,http://arxiv.org/pdf/2206.02626,Background,,"On the contrary, for recommendation tasks, there always has been a debate of linear vs. non-linear
networks [29, 65], along with the importance of increasing the width vs. depth of the network
[11, 39].",yes,DISTILL-CF,no,,
Once for All,Once for All: Train One Network and Specialize it for Efficient Deployment,https://arxiv.org/pdf/2102.05610,Background,,"When
designing fast models for inference with NAS, previous
work employed multi-objective search [53, 17, 12, 27, 61,
25, 11, 20, 37, 15] to consider accuracy together with performance/efficiency.",yes,EfficientNet-X,no,,
T5-3B,Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer,https://www.nature.com/articles/s41598-023-48594-4.pdf,Uses,,"a. We use a pretrained Opus-MT-based53 sequence-to-sequence model pretrained on the English-French language for back translation. T5 abstractive summarization: To address the issue of data scarcity, text summarization is conducted on input texts, generating concise summaries by employing the T5-large model5",no,,yes,t5-large,
BIDAF,Bidirectional Attention Flow for Machine Comprehension,https://arxiv.org/pdf/2010.10019,Uses,,"Even though our results are behind [2], we wish to point out that their context matching model with the bi-directional attention flow (BiDAF) [55] significantly contributes to the performance.",no,,yes,biDAF,
VD-RHN,Recurrent Highway Networks,https://ieeexplore.ieee.org/ielx7/6287639/9668973/09762315.pdf,Background,,"For example, the quality of neural language modeling [11] was significantly improved by using Highway layers [12], [13] or tying input and output embeddings [14].",no,,no,,
EfficientNet-L2,EfficientNet: Rethinking Model Scaling for Convolutional Neural Networks,https://www.mdpi.com/2072-6694/16/2/430/pdf?version=1705650909,Uses,,"The ResNet 50 [38], EfficeientNet B3 [39], and ConViT (Small) [40] models were fine-tuned on the LVI datasets.",yes,ensemble,yes,finetuned,
Hybrid H3-2.7B,Hungry Hungry Hippos: Towards Language Modeling with State Space Models,http://arxiv.org/pdf/2305.13504,Background,,"Moreover, state space models [64, 66, 65, 39] are getting popular at handling long-range dependencies better than transformer architecture and exploring this direction for code generation is an interesting and exciting research direction.",no,,no,,
HRA,Hybrid Reward Architecture for Reinforcement Learning,https://link.springer.com/content/pdf/10.1007/s10994-021-05961-4.pdf,,,!!couldnt find,,,,,
Pointer Sentinel-LSTM (medium),Pointer Sentinel Mixture Models,https://arxiv.org/pdf/2012.04632,Background,,"Other well-known approaches to address this challenge are [ 9 ,14 , 6 ,16 ,17 , 4]. In this paper, we argue that a key step in designing recurrent neural architectures is to understand the decay of dependence in sequential data and to use this understanding to inform the setting of the relevant hyper-parameters of the architecture.",yes,DilatedRNNs,no,,
FAST,Machine Learning for High-Speed Corner Detection,https://arxiv.org/pdf/2109.00210,Background,,"The image-based local feature extraction and description can be grouped into hand-crafted [22, 6, 32] and deep-learned [9, 40, 13, 35, 31] methods.",no,,no,,
PyramidNet,Deep Pyramidal Residual Networks,http://arxiv.org/pdf/2209.08473,Uses,,"Finally, according to the theory of [26] and [17], wider models are more easily interpreted as convex minimization problems.",yes,Wide PyramidNet272,yes,Wide PyramidNet272,
Transformer local-attention (NesT-B),"Nested Hierarchical Transformer: Towards Accurate, Data-Efficient and Interpretable Visual Understanding",https://arxiv.org/pdf/2308.05128,Background,,"This field is evolving rapidly, so methods such as transformers [53], large language models [5], knowledge distillation [8], wild and large datasets [31], unsupervised learning [9], and matching loss functions [44], etc. are constantly advancing the state-of-the-art. L",yes,N3HL153gpt,no,,
FTW,Human-level performance in 3D multiplayer games with population-based reinforcement learning,https://arxiv.org/pdf/2109.10665,Background,,"It has powerful representation learning and function approximation properties to be applied across various fields [17], [18], e.g., games [19] and robotics [20].",No,,No,,
Transformer ELMo,Dissecting Contextual Word Embeddings: Architecture and Representation,https://www.aclweb.org/anthology/2020.emnlp-main.397.pdf,Background,,"found the reference, couldnt find it in the text",,,,,
StarGAN v2,StarGAN v2: Diverse Image Synthesis for Multiple Domains,https://dl.acm.org/doi/pdf/10.1145/3588432.3591500,Background,,"found the reference, couldnt find it in the text",,,,,
Agent57,Agent57: Outperforming the Atari Human Benchmark,https://www.mdpi.com/2079-9292/12/16/3508/pdf?version=1692357476,Background,,". For instance, though Agent57 [8] stands as the premier deep reinforcement learning algorithm capable of surpassing the average human player across all 57 Atari games, it generally mandates orders of magnitude more interactions than its human counterpart.",yes,E2S2RND,no,,
LaMDA,LaMDA: Language Models for Dialog Applications,https://arxiv.org/pdf/2308.09490,Background,,"While some large-scale models are completely closedsource, such as OpenAI’s GPT-3 [3] or Google’s Bard [49], and are only accessible through an API, many other models are available as open-source models, usually including the code to train",no,,no,,
